time,pos_0,pos_1,pos_2,vel_0,vel_1,vel_2
0.000000000000000000e+00,8.660254037844387076e-01,0.000000000000000000e+00,-8.660254037844387076e-01,-4.999999999999997780e-01,1.000000000000000000e+00,-4.999999999999997780e-01
4.166666666666666609e-03,8.594064115014528049e-01,1.308959557134443952e-02,-8.724960070727972861e-01,-5.112930860770519281e-01,9.999143275740070003e-01,-4.886212414969546836e-01
8.333333333333333218e-03,8.526401643540922892e-01,2.617694830787314908e-02,-8.788171126619656048e-01,-5.224985647159487989e-01,9.996573249755572599e-01,-4.771587602596080724e-01
1.250000000000000069e-02,8.457278217039735368e-01,3.925981575906861004e-02,-8.849876374630418763e-01,-5.336145159156111539e-01,9.992290362407229010e-01,-4.656145203251114140e-01
1.666666666666666644e-02,8.386705679454242723e-01,5.233595624294382770e-02,-8.910065241883678988e-01,-5.446390350150267512e-01,9.986295347545738332e-01,-4.539904997395466935e-01
2.083333333333333218e-02,8.314696123025454577e-01,6.540312923014306168e-02,-8.968727415326883667e-01,-5.555702330196019556e-01,9.978589232386034791e-01,-4.422886902190011349e-01
2.499999999999999792e-02,8.241261886220158095e-01,7.845909572784494357e-02,-9.025852843498607392e-01,-5.664062369248326068e-01,9.969173337331279638e-01,-4.305110968082949130e-01
2.916666666666666366e-02,8.166415551616790225e-01,9.150161866340236760e-02,-9.081431738250814734e-01,-5.771451900372335242e-01,9.958049275746617690e-01,-4.186597375374278007e-01
3.333333333333333287e-02,8.090169943749474513e-01,1.045284632676534570e-01,-9.135454576426009776e-01,-5.877852522924730261e-01,9.945218953682732899e-01,-4.067366430758000417e-01
3.749999999999999861e-02,8.012538126910606628e-01,1.175373974578376446e-01,-9.187912101488984185e-01,-5.983246005706590598e-01,9.930684569549262930e-01,-3.947438563842670667e-01
4.166666666666666435e-02,7.933533402912353871e-01,1.305261922200515734e-01,-9.238795325112868495e-01,-6.087614290087203228e-01,9.914448613738103822e-01,-3.826834323650895042e-01
4.583333333333333010e-02,7.853169308807451676e-01,1.434926219911792922e-01,-9.288095528719242377e-01,-6.190939493098337465e-01,9.896513868196702424e-01,-3.705574375098361073e-01
4.999999999999999584e-02,7.771459614569710128e-01,1.564344650402308690e-01,-9.335804264972018540e-01,-6.293203910498372800e-01,9.876883405951377704e-01,-3.583679495453000463e-01
5.416666666666666158e-02,7.688418320734595746e-01,1.693495038490245852e-01,-9.381913359224842708e-01,-6.394390019805846759e-01,9.855560590580777491e-01,-3.461170570774926847e-01
5.833333333333332732e-02,7.604059656000310419e-01,1.822355254921474432e-01,-9.426414910921784296e-01,-6.494480483301835472e-01,9.832549075639546166e-01,-3.338068592337707918e-01
6.249999999999999306e-02,7.518398074789777175e-01,1.950903220161282203e-01,-9.469301294951056880e-01,-6.593458151000685108e-01,9.807852804032304306e-01,-3.214394653031613647e-01
6.666666666666666574e-02,7.431448254773944662e-01,2.079116908177593148e-01,-9.510565162951536422e-01,-6.691306063588579045e-01,9.781476007338056888e-01,-3.090169943749471182e-01
7.083333333333333148e-02,7.343225094356857774e-01,2.206974350215010761e-01,-9.550199444571866314e-01,-6.788007455329415629e-01,9.753423205085126613e-01,-2.965415749755708208e-01
7.499999999999999722e-02,7.253743710122878552e-01,2.334453638559053912e-01,-9.588197348681931631e-01,-6.883545756937538007e-01,9.723699203976765570e-01,-2.840153447039224233e-01
7.916666666666666297e-02,7.163019434246543637e-01,2.461532930289930254e-01,-9.624552364536473892e-01,-6.977904598416799775e-01,9.692309097067544066e-01,-2.714404498650739850e-01
8.333333333333332871e-02,7.071067811865475727e-01,2.588190451025207395e-01,-9.659258262890683122e-01,-7.071067811865474617e-01,9.659258262890683122e-01,-2.588190451025206285e-01
8.749999999999999445e-02,6.977904598416801996e-01,2.714404498650742625e-01,-9.692309097067544066e-01,-7.163019434246542527e-01,9.624552364536472782e-01,-2.461532930289928311e-01
9.166666666666666019e-02,6.883545756937542448e-01,2.840153447039225898e-01,-9.723699203976766681e-01,-7.253743710122874111e-01,9.588197348681930521e-01,-2.334453638559053357e-01
9.583333333333332593e-02,6.788007455329420070e-01,2.965415749755709318e-01,-9.753423205085127723e-01,-7.343225094356853333e-01,9.550199444571866314e-01,-2.206974350215009650e-01
9.999999999999999167e-02,6.691306063588583486e-01,3.090169943749473958e-01,-9.781476007338056888e-01,-7.431448254773940221e-01,9.510565162951535312e-01,-2.079116908177591205e-01
1.041666666666666574e-01,6.593458151000689549e-01,3.214394653031615312e-01,-9.807852804032305416e-01,-7.518398074789772734e-01,9.469301294951056880e-01,-1.950903220161279705e-01
1.083333333333333232e-01,6.494480483301837692e-01,3.338068592337709029e-01,-9.832549075639546166e-01,-7.604059656000309309e-01,9.426414910921784296e-01,-1.822355254921473044e-01
1.124999999999999889e-01,6.394390019805851200e-01,3.461170570774929067e-01,-9.855560590580777491e-01,-7.688418320734592415e-01,9.381913359224841598e-01,-1.693495038490243909e-01
1.166666666666666546e-01,6.293203910498377240e-01,3.583679495453002128e-01,-9.876883405951377704e-01,-7.771459614569706797e-01,9.335804264972017430e-01,-1.564344650402308134e-01
1.208333333333333204e-01,6.190939493098341906e-01,3.705574375098362183e-01,-9.896513868196702424e-01,-7.853169308807447235e-01,9.288095528719242377e-01,-1.434926219911791534e-01
1.249999999999999861e-01,6.087614290087208779e-01,3.826834323650897263e-01,-9.914448613738104932e-01,-7.933533402912350541e-01,9.238795325112867385e-01,-1.305261922200513791e-01
1.291666666666666519e-01,5.983246005706591708e-01,3.947438563842671777e-01,-9.930684569549262930e-01,-8.012538126910605518e-01,9.187912101488983074e-01,-1.175373974578373532e-01
1.333333333333333315e-01,5.877852522924732481e-01,4.067366430758001528e-01,-9.945218953682734009e-01,-8.090169943749473402e-01,9.135454576426008666e-01,-1.045284632676533321e-01
1.375000000000000111e-01,5.771451900372336352e-01,4.186597375374281338e-01,-9.958049275746617690e-01,-8.166415551616789115e-01,9.081431738250812513e-01,-9.150161866340217331e-02
1.416666666666666907e-01,5.664062369248328288e-01,4.305110968082951906e-01,-9.969173337331279638e-01,-8.241261886220156985e-01,9.025852843498606282e-01,-7.845909572784466601e-02
1.458333333333333703e-01,5.555702330196025107e-01,4.422886902190013569e-01,-9.978589232386034791e-01,-8.314696123025450136e-01,8.968727415326882557e-01,-6.540312923014270086e-02
1.500000000000000500e-01,5.446390350150273063e-01,4.539904997395469155e-01,-9.986295347545739443e-01,-8.386705679454239393e-01,8.910065241883677878e-01,-5.233595624294339749e-02
1.541666666666667296e-01,5.336145159156117090e-01,4.656145203251115805e-01,-9.992290362407229010e-01,-8.457278217039732038e-01,8.849876374630417653e-01,-3.925981575906832555e-02
1.583333333333334092e-01,5.224985647159489099e-01,4.771587602596086275e-01,-9.996573249755572599e-01,-8.526401643540921782e-01,8.788171126619652718e-01,-2.617694830787279520e-02
1.625000000000000888e-01,5.112930860770521502e-01,4.886212414969552387e-01,-9.999143275740070003e-01,-8.594064115014526939e-01,8.724960070727969530e-01,-1.308959557134400757e-02
1.666666666666667684e-01,4.999999999999999445e-01,5.000000000000002220e-01,-1.000000000000000000e+00,-8.660254037844387076e-01,8.660254037844384856e-01,5.053215498074302889e-16
1.708333333333334481e-01,4.886212414969548501e-01,5.112930860770523722e-01,-9.999143275740070003e-01,-8.724960070727971750e-01,8.594064115014524718e-01,1.308959557134501892e-02
1.750000000000001277e-01,4.771587602596082389e-01,5.224985647159492430e-01,-9.996573249755572599e-01,-8.788171126619654938e-01,8.526401643540919562e-01,2.617694830787380481e-02
1.791666666666668073e-01,4.656145203251111919e-01,5.336145159156118201e-01,-9.992290362407229010e-01,-8.849876374630419873e-01,8.457278217039730928e-01,3.925981575906933169e-02
1.833333333333334869e-01,4.539904997395464714e-01,5.446390350150274173e-01,-9.986295347545738332e-01,-8.910065241883680098e-01,8.386705679454238282e-01,5.233595624294463261e-02
1.875000000000001665e-01,4.422886902190009129e-01,5.555702330196026217e-01,-9.978589232386034791e-01,-8.968727415326884778e-01,8.314696123025449026e-01,6.540312923014393598e-02
1.916666666666668462e-01,4.305110968082950795e-01,5.664062369248332729e-01,-9.969173337331279638e-01,-9.025852843498606282e-01,8.241261886220153654e-01,7.845909572784566521e-02
1.958333333333335258e-01,4.186597375374279673e-01,5.771451900372340793e-01,-9.958049275746616580e-01,-9.081431738250813623e-01,8.166415551616785784e-01,9.150161866340318639e-02
2.000000000000002054e-01,4.067366430758000417e-01,5.877852522924736922e-01,-9.945218953682732899e-01,-9.135454576426009776e-01,8.090169943749470072e-01,1.045284632676543313e-01
2.041666666666668850e-01,3.947438563842670112e-01,5.983246005706596149e-01,-9.930684569549261820e-01,-9.187912101488984185e-01,8.012538126910602188e-01,1.175373974578385883e-01
2.083333333333335646e-01,3.826834323650894487e-01,6.087614290087212110e-01,-9.914448613738102711e-01,-9.238795325112868495e-01,7.933533402912347210e-01,1.305261922200523783e-01
2.125000000000002442e-01,3.705574375098358297e-01,6.190939493098345237e-01,-9.896513868196701313e-01,-9.288095528719243488e-01,7.853169308807445015e-01,1.434926219911801804e-01
2.166666666666669239e-01,3.583679495452998243e-01,6.293203910498380571e-01,-9.876883405951375483e-01,-9.335804264972019650e-01,7.771459614569703467e-01,1.564344650402318126e-01
2.208333333333336035e-01,3.461170570774924626e-01,6.394390019805853420e-01,-9.855560590580775271e-01,-9.381913359224843818e-01,7.688418320734590194e-01,1.693495038490256122e-01
2.250000000000002831e-01,3.338068592337703477e-01,6.494480483301843243e-01,-9.832549075639543945e-01,-9.426414910921786516e-01,7.604059656000303757e-01,1.822355254921485257e-01
2.291666666666669627e-01,3.214394653031609206e-01,6.593458151000696210e-01,-9.807852804032302085e-01,-9.469301294951059100e-01,7.518398074789768293e-01,1.950903220161294138e-01
2.333333333333336423e-01,3.090169943749466741e-01,6.691306063588589037e-01,-9.781476007338053558e-01,-9.510565162951538642e-01,7.431448254773936890e-01,2.079116908177605361e-01
2.375000000000003220e-01,2.965415749755701547e-01,6.788007455329424511e-01,-9.753423205085124392e-01,-9.550199444571868534e-01,7.343225094356848892e-01,2.206974350215023806e-01
2.416666666666670016e-01,2.840153447039217571e-01,6.883545756937546889e-01,-9.723699203976762240e-01,-9.588197348681932741e-01,7.253743710122869670e-01,2.334453638559067512e-01
2.458333333333336812e-01,2.714404498650733188e-01,6.977904598416809767e-01,-9.692309097067540735e-01,-9.624552364536476112e-01,7.163019434246534756e-01,2.461532930289944410e-01
2.500000000000003331e-01,2.588190451025201289e-01,7.071067811865482389e-01,-9.659258262890679791e-01,-9.659258262890684232e-01,7.071067811865467956e-01,2.588190451025217942e-01
2.541666666666669849e-01,2.461532930289923593e-01,7.163019434246549189e-01,-9.624552364536469451e-01,-9.692309097067545176e-01,6.977904598416794224e-01,2.714404498650753728e-01
2.583333333333336368e-01,2.334453638559046695e-01,7.253743710122882993e-01,-9.588197348681927190e-01,-9.723699203976767791e-01,6.883545756937533566e-01,2.840153447039238110e-01
2.625000000000002887e-01,2.206974350215006875e-01,7.343225094356861105e-01,-9.550199444571862983e-01,-9.753423205085127723e-01,6.788007455329411188e-01,2.965415749755719865e-01
2.666666666666669405e-01,2.079116908177588707e-01,7.431448254773947992e-01,-9.510565162951533091e-01,-9.781476007338056888e-01,6.691306063588575714e-01,3.090169943749483394e-01
2.708333333333335924e-01,1.950903220161277207e-01,7.518398074789779395e-01,-9.469301294951053549e-01,-9.807852804032305416e-01,6.593458151000682887e-01,3.214394653031625304e-01
2.750000000000002442e-01,1.822355254921468326e-01,7.604059656000313749e-01,-9.426414910921779855e-01,-9.832549075639547276e-01,6.494480483301831031e-01,3.338068592337719576e-01
2.791666666666668961e-01,1.693495038490239191e-01,7.688418320734600186e-01,-9.381913359224838267e-01,-9.855560590580778602e-01,6.394390019805842318e-01,3.461170570774938504e-01
2.833333333333335480e-01,1.564344650402305359e-01,7.771459614569713459e-01,-9.335804264972015210e-01,-9.876883405951377704e-01,6.293203910498369469e-01,3.583679495453009900e-01
2.875000000000001998e-01,1.434926219911789036e-01,7.853169308807452786e-01,-9.288095528719239047e-01,-9.896513868196702424e-01,6.190939493098335245e-01,3.705574375098370510e-01
2.916666666666668517e-01,1.305261922200511293e-01,7.933533402912354981e-01,-9.238795325112864054e-01,-9.914448613738104932e-01,6.087614290087202118e-01,3.826834323650906144e-01
2.958333333333335036e-01,1.175373974578375474e-01,8.012538126910608849e-01,-9.187912101488980854e-01,-9.930684569549262930e-01,5.983246005706587267e-01,3.947438563842677883e-01
3.000000000000001554e-01,1.045284632676532904e-01,8.090169943749476733e-01,-9.135454576426006446e-01,-9.945218953682734009e-01,5.877852522924728040e-01,4.067366430758007634e-01
3.041666666666668073e-01,9.150161866340213168e-02,8.166415551616791335e-01,-9.081431738250810293e-01,-9.958049275746617690e-01,5.771451900372333021e-01,4.186597375374287444e-01
3.083333333333334592e-01,7.845909572784462438e-02,8.241261886220158095e-01,-9.025852843498604061e-01,-9.969173337331279638e-01,5.664062369248326068e-01,4.305110968082956346e-01
3.125000000000001110e-01,6.540312923014311719e-02,8.314696123025453467e-01,-8.968727415326881447e-01,-9.978589232386034791e-01,5.555702330196019556e-01,4.422886902190016345e-01
3.166666666666667629e-01,5.233595624294380688e-02,8.386705679454241613e-01,-8.910065241883676768e-01,-9.986295347545738332e-01,5.446390350150268622e-01,4.539904997395472486e-01
3.208333333333334147e-01,3.925981575906895005e-02,8.457278217039733148e-01,-8.849876374630416542e-01,-9.992290362407229010e-01,5.336145159156114870e-01,4.656145203251116915e-01
3.250000000000000666e-01,2.617694830787342317e-02,8.526401643540922892e-01,-8.788171126619651607e-01,-9.996573249755572599e-01,5.224985647159486879e-01,4.771587602596087940e-01
3.291666666666667185e-01,1.308959557134463554e-02,8.594064115014526939e-01,-8.724960070727969530e-01,-9.999143275740070003e-01,5.112930860770520392e-01,4.886212414969551832e-01
3.333333333333333703e-01,1.224646799147353207e-16,8.660254037844387076e-01,-8.660254037844384856e-01,-1.000000000000000000e+00,4.999999999999998890e-01,5.000000000000003331e-01
3.375000000000000222e-01,-1.308959557134439095e-02,8.724960070727970640e-01,-8.594064115014525829e-01,-9.999143275740070003e-01,4.886212414969549611e-01,5.112930860770522612e-01
3.416666666666666741e-01,-2.617694830787317684e-02,8.788171126619653828e-01,-8.526401643540920672e-01,-9.996573249755572599e-01,4.771587602596084055e-01,5.224985647159491320e-01
3.458333333333333259e-01,-3.925981575906826310e-02,8.849876374630417653e-01,-8.457278217039732038e-01,-9.992290362407229010e-01,4.656145203251115250e-01,5.336145159156115980e-01
3.499999999999999778e-01,-5.233595624294356402e-02,8.910065241883677878e-01,-8.386705679454239393e-01,-9.986295347545738332e-01,4.539904997395468045e-01,5.446390350150271953e-01
3.541666666666666297e-01,-6.540312923014242330e-02,8.968727415326882557e-01,-8.314696123025452357e-01,-9.978589232386035901e-01,4.422886902190014680e-01,5.555702330196022887e-01
3.583333333333332815e-01,-7.845909572784437458e-02,9.025852843498605171e-01,-8.241261886220155874e-01,-9.969173337331280749e-01,4.305110968082952461e-01,5.664062369248329398e-01
3.624999999999999334e-01,-9.150161866340189576e-02,9.081431738250811403e-01,-8.166415551616789115e-01,-9.958049275746617690e-01,4.186597375374283558e-01,5.771451900372336352e-01
3.666666666666665853e-01,-1.045284632676530545e-01,9.135454576426008666e-01,-8.090169943749474513e-01,-9.945218953682734009e-01,4.067366430758003748e-01,5.877852522924731371e-01
3.708333333333332371e-01,-1.175373974578372976e-01,9.187912101488981964e-01,-8.012538126910607739e-01,-9.930684569549262930e-01,3.947438563842675663e-01,5.983246005706589488e-01
3.749999999999998890e-01,-1.305261922200508795e-01,9.238795325112865164e-01,-7.933533402912352761e-01,-9.914448613738104932e-01,3.826834323650902259e-01,6.087614290087204338e-01
3.791666666666665408e-01,-1.434926219911786538e-01,9.288095528719241267e-01,-7.853169308807450566e-01,-9.896513868196703534e-01,3.705574375098366069e-01,6.190939493098338575e-01
3.833333333333331927e-01,-1.564344650402298698e-01,9.335804264972015210e-01,-7.771459614569711238e-01,-9.876883405951378814e-01,3.583679495453008235e-01,6.293203910498371689e-01
3.874999999999998446e-01,-1.693495038490236970e-01,9.381913359224839377e-01,-7.688418320734596856e-01,-9.855560590580778602e-01,3.461170570774934618e-01,6.394390019805845649e-01
3.916666666666664964e-01,-1.822355254921466106e-01,9.426414910921782075e-01,-7.604059656000311529e-01,-9.832549075639547276e-01,3.338068592337715135e-01,6.494480483301833251e-01
3.958333333333331483e-01,-1.950903220161274987e-01,9.469301294951054659e-01,-7.518398074789776064e-01,-9.807852804032306526e-01,3.214394653031621418e-01,6.593458151000686218e-01
3.999999999999998002e-01,-2.079116908177586209e-01,9.510565162951533091e-01,-7.431448254773945772e-01,-9.781476007338057999e-01,3.090169943749481174e-01,6.691306063588579045e-01
4.041666666666664520e-01,-2.206974350215004654e-01,9.550199444571864094e-01,-7.343225094356857774e-01,-9.753423205085128833e-01,2.965415749755715424e-01,6.788007455329414519e-01
4.083333333333331039e-01,-2.334453638559044197e-01,9.588197348681928300e-01,-7.253743710122880772e-01,-9.723699203976768901e-01,2.840153447039233670e-01,6.883545756937535787e-01
4.124999999999997558e-01,-2.461532930289921095e-01,9.624552364536470561e-01,-7.163019434246545858e-01,-9.692309097067546286e-01,2.714404498650749287e-01,6.977904598416797555e-01
4.166666666666664076e-01,-2.588190451025194627e-01,9.659258262890680902e-01,-7.071067811865480168e-01,-9.659258262890686453e-01,2.588190451025215721e-01,7.071067811865471286e-01
4.208333333333330595e-01,-2.714404498650730413e-01,9.692309097067541845e-01,-6.977904598416807547e-01,-9.624552364536476112e-01,2.461532930289940246e-01,7.163019434246536976e-01
4.249999999999997113e-01,-2.840153447039214796e-01,9.723699203976763350e-01,-6.883545756937544668e-01,-9.588197348681933851e-01,2.334453638559063349e-01,7.253743710122871891e-01
4.291666666666663632e-01,-2.965415749755699326e-01,9.753423205085124392e-01,-6.788007455329423401e-01,-9.550199444571869645e-01,2.206974350215021585e-01,7.343225094356850002e-01
4.333333333333330151e-01,-3.090169943749464521e-01,9.781476007338054668e-01,-6.691306063588587927e-01,-9.510565162951538642e-01,2.079116908177603418e-01,7.431448254773936890e-01
4.374999999999996669e-01,-3.214394653031602545e-01,9.807852804032302085e-01,-6.593458151000696210e-01,-9.469301294951061321e-01,1.950903220161294138e-01,7.518398074789768293e-01
4.416666666666663188e-01,-3.338068592337696816e-01,9.832549075639543945e-01,-6.494480483301843243e-01,-9.426414910921788737e-01,1.822355254921485257e-01,7.604059656000303757e-01
4.458333333333329707e-01,-3.461170570774914079e-01,9.855560590580775271e-01,-6.394390019805855641e-01,-9.381913359224847149e-01,1.693495038490258342e-01,7.688418320734589084e-01
4.499999999999996225e-01,-3.583679495452987696e-01,9.876883405951375483e-01,-6.293203910498381681e-01,-9.335804264972022981e-01,1.564344650402320069e-01,7.771459614569702357e-01
4.541666666666662744e-01,-3.705574375098347750e-01,9.896513868196700203e-01,-6.190939493098348567e-01,-9.288095528719247929e-01,1.434926219911805967e-01,7.853169308807442794e-01
4.583333333333329263e-01,-3.826834323650883940e-01,9.914448613738102711e-01,-6.087614290087214330e-01,-9.238795325112872936e-01,1.305261922200528224e-01,7.933533402912344989e-01
4.624999999999995781e-01,-3.947438563842659565e-01,9.930684569549261820e-01,-5.983246005706599480e-01,-9.187912101488988625e-01,1.175373974578390185e-01,8.012538126910599967e-01
4.666666666666662300e-01,-4.067366430757985984e-01,9.945218953682731788e-01,-5.877852522924741363e-01,-9.135454576426016438e-01,1.045284632676549974e-01,8.090169943749466741e-01
4.708333333333328818e-01,-4.186597375374265240e-01,9.958049275746615470e-01,-5.771451900372346344e-01,-9.081431738250820285e-01,9.150161866340383865e-02,8.166415551616782453e-01
4.749999999999995337e-01,-4.305110968082933032e-01,9.969173337331278528e-01,-5.664062369248339390e-01,-9.025852843498615163e-01,7.845909572784655339e-02,8.241261886220149213e-01
4.791666666666661856e-01,-4.422886902189994696e-01,9.978589232386033681e-01,-5.555702330196032879e-01,-8.968727415326891439e-01,6.540312923014460211e-02,8.314696123025444585e-01
4.833333333333328374e-01,-4.539904997395450836e-01,9.986295347545738332e-01,-5.446390350150283055e-01,-8.910065241883687870e-01,5.233595624294552079e-02,8.386705679454232731e-01
4.874999999999994893e-01,-4.656145203251097486e-01,9.992290362407229010e-01,-5.336145159156127082e-01,-8.849876374630427645e-01,3.925981575907021986e-02,8.457278217039725376e-01
4.916666666666661412e-01,-4.771587602596068511e-01,9.996573249755572599e-01,-5.224985647159501312e-01,-8.788171126619662710e-01,2.617694830787491503e-02,8.526401643540914010e-01
4.958333333333327930e-01,-4.886212414969534623e-01,9.999143275740070003e-01,-5.112930860770533714e-01,-8.724960070727979522e-01,1.308959557134612914e-02,8.594064115014519167e-01
4.999999999999994449e-01,-4.999999999999982236e-01,1.000000000000000000e+00,-5.000000000000014433e-01,-8.660254037844397068e-01,1.837589179357618039e-15,8.660254037844378194e-01
5.041666666666660968e-01,-5.112930860770503738e-01,9.999143275740070003e-01,-4.886212414969562934e-01,-8.594064115014536931e-01,-1.308959557134267704e-02,8.724960070727963979e-01
5.083333333333327486e-01,-5.224985647159468005e-01,9.996573249755573709e-01,-4.771587602596099043e-01,-8.526401643540935105e-01,-2.617694830787124088e-02,8.788171126619646056e-01
5.124999999999994005e-01,-5.336145159156095996e-01,9.992290362407230120e-01,-4.656145203251128573e-01,-8.457278217039744250e-01,-3.925981575906677123e-02,8.849876374630410991e-01
5.166666666666660523e-01,-5.446390350150251969e-01,9.986295347545739443e-01,-4.539904997395483588e-01,-8.386705679454252715e-01,-5.233595624294185011e-02,8.910065241883670106e-01
5.208333333333327042e-01,-5.555702330196004013e-01,9.978589232386037011e-01,-4.422886902190029668e-01,-8.314696123025464569e-01,-6.540312923014093838e-02,8.968727415326874786e-01
5.249999999999993561e-01,-5.664062369248311635e-01,9.969173337331281859e-01,-4.305110968082968004e-01,-8.241261886220168087e-01,-7.845909572784288966e-02,9.025852843498598510e-01
5.291666666666660079e-01,-5.771451900372316368e-01,9.958049275746618800e-01,-4.186597375374299101e-01,-8.166415551616803548e-01,-9.150161866340018879e-02,9.081431738250804742e-01
5.333333333333326598e-01,-5.877852522924712497e-01,9.945218953682735119e-01,-4.067366430758019291e-01,-8.090169943749487835e-01,-1.045284632676513475e-01,9.135454576426000894e-01
5.374999999999993117e-01,-5.983246005706568393e-01,9.930684569549265150e-01,-3.947438563842691206e-01,-8.012538126910623282e-01,-1.175373974578353686e-01,9.187912101488975303e-01
5.416666666666659635e-01,-6.087614290087185465e-01,9.914448613738107152e-01,-3.826834323650916136e-01,-7.933533402912368304e-01,-1.305261922200494085e-01,9.238795325112859613e-01
5.458333333333326154e-01,-6.190939493098319701e-01,9.896513868196705754e-01,-3.705574375098382167e-01,-7.853169308807464999e-01,-1.434926219911769607e-01,9.288095528719234606e-01
5.499999999999992673e-01,-6.293203910498355036e-01,9.876883405951381034e-01,-3.583679495453022112e-01,-7.771459614569724561e-01,-1.564344650402286208e-01,9.335804264972009658e-01
5.541666666666659191e-01,-6.394390019805828995e-01,9.855560590580781932e-01,-3.461170570774950717e-01,-7.688418320734611289e-01,-1.693495038490222260e-01,9.381913359224833826e-01
5.583333333333325710e-01,-6.494480483301818818e-01,9.832549075639550606e-01,-3.338068592337729568e-01,-7.604059656000324852e-01,-1.822355254921451395e-01,9.426414910921776524e-01
5.624999999999992228e-01,-6.593458151000668455e-01,9.807852804032309857e-01,-3.214394653031637517e-01,-7.518398074789791607e-01,-1.950903220161258056e-01,9.469301294951049108e-01
5.666666666666658747e-01,-6.691306063588559061e-01,9.781476007338062439e-01,-3.090169943749497272e-01,-7.431448254773963535e-01,-2.079116908177567336e-01,9.510565162951528650e-01
