time,pos_0,pos_1,pos_2,vel_0,vel_1,vel_2
0.000000000000000000e+00,7.071067811865474617e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.071067811865475727e-01,1.000000000000000000e+00,1.000000000000000000e+00
4.166666666666666609e-03,7.163019434246542527e-01,1.308959557134443952e-02,1.308959557134443952e-02,6.977904598416801996e-01,9.999143275740070003e-01,9.999143275740070003e-01
8.333333333333333218e-03,7.253743710122876331e-01,2.617694830787314908e-02,2.617694830787314908e-02,6.883545756937540228e-01,9.996573249755572599e-01,9.996573249755572599e-01
1.250000000000000069e-02,7.343225094356855553e-01,3.925981575906861004e-02,3.925981575906861004e-02,6.788007455329417850e-01,9.992290362407229010e-01,9.992290362407229010e-01
1.666666666666666644e-02,7.431448254773941331e-01,5.233595624294382770e-02,5.233595624294382770e-02,6.691306063588582376e-01,9.986295347545738332e-01,9.986295347545738332e-01
2.083333333333333218e-02,7.518398074789773844e-01,6.540312923014306168e-02,6.540312923014306168e-02,6.593458151000688439e-01,9.978589232386034791e-01,9.978589232386034791e-01
2.499999999999999792e-02,7.604059656000309309e-01,7.845909572784494357e-02,7.845909572784494357e-02,6.494480483301836582e-01,9.969173337331279638e-01,9.969173337331279638e-01
2.916666666666666366e-02,7.688418320734594635e-01,9.150161866340236760e-02,9.150161866340236760e-02,6.394390019805847869e-01,9.958049275746617690e-01,9.958049275746617690e-01
3.333333333333333287e-02,7.771459614569709018e-01,1.045284632676534570e-01,1.045284632676534570e-01,6.293203910498375020e-01,9.945218953682732899e-01,9.945218953682732899e-01
3.749999999999999861e-02,7.853169308807449456e-01,1.175373974578376446e-01,1.175373974578376446e-01,6.190939493098339685e-01,9.930684569549262930e-01,9.930684569549262930e-01
4.166666666666666435e-02,7.933533402912351651e-01,1.305261922200515734e-01,1.305261922200515734e-01,6.087614290087206559e-01,9.914448613738103822e-01,9.914448613738103822e-01
4.583333333333333010e-02,8.012538126910605518e-01,1.434926219911792922e-01,1.434926219911792922e-01,5.983246005706591708e-01,9.896513868196702424e-01,9.896513868196702424e-01
4.999999999999999584e-02,8.090169943749474513e-01,1.564344650402308690e-01,1.564344650402308690e-01,5.877852522924731371e-01,9.876883405951377704e-01,9.876883405951377704e-01
5.416666666666666158e-02,8.166415551616789115e-01,1.693495038490245852e-01,1.693495038490245852e-01,5.771451900372337462e-01,9.855560590580777491e-01,9.855560590580777491e-01
5.833333333333332732e-02,8.241261886220155874e-01,1.822355254921474432e-01,1.822355254921474432e-01,5.664062369248329398e-01,9.832549075639546166e-01,9.832549075639546166e-01
6.249999999999999306e-02,8.314696123025452357e-01,1.950903220161282203e-01,1.950903220161282203e-01,5.555702330196022887e-01,9.807852804032304306e-01,9.807852804032304306e-01
6.666666666666666574e-02,8.386705679454239393e-01,2.079116908177593148e-01,2.079116908177593148e-01,5.446390350150271953e-01,9.781476007338056888e-01,9.781476007338056888e-01
7.083333333333333148e-02,8.457278217039732038e-01,2.206974350215010761e-01,2.206974350215010761e-01,5.336145159156115980e-01,9.753423205085126613e-01,9.753423205085126613e-01
7.499999999999999722e-02,8.526401643540921782e-01,2.334453638559053912e-01,2.334453638559053912e-01,5.224985647159489099e-01,9.723699203976765570e-01,9.723699203976765570e-01
7.916666666666666297e-02,8.594064115014526939e-01,2.461532930289930254e-01,2.461532930289930254e-01,5.112930860770520392e-01,9.692309097067544066e-01,9.692309097067544066e-01
8.333333333333332871e-02,8.660254037844385966e-01,2.588190451025207395e-01,2.588190451025207395e-01,5.000000000000001110e-01,9.659258262890683122e-01,9.659258262890683122e-01
8.749999999999999445e-02,8.724960070727970640e-01,2.714404498650742625e-01,2.714404498650742625e-01,4.886212414969549611e-01,9.624552364536472782e-01,9.624552364536472782e-01
9.166666666666666019e-02,8.788171126619652718e-01,2.840153447039225898e-01,2.840153447039225898e-01,4.771587602596085720e-01,9.588197348681930521e-01,9.588197348681930521e-01
9.583333333333332593e-02,8.849876374630417653e-01,2.965415749755709318e-01,2.965415749755709318e-01,4.656145203251115250e-01,9.550199444571866314e-01,9.550199444571866314e-01
9.999999999999999167e-02,8.910065241883677878e-01,3.090169943749473958e-01,3.090169943749473958e-01,4.539904997395468045e-01,9.510565162951535312e-01,9.510565162951535312e-01
1.041666666666666574e-01,8.968727415326883667e-01,3.214394653031615312e-01,3.214394653031615312e-01,4.422886902190012459e-01,9.469301294951056880e-01,9.469301294951056880e-01
1.083333333333333232e-01,9.025852843498605171e-01,3.338068592337709029e-01,3.338068592337709029e-01,4.305110968082952461e-01,9.426414910921784296e-01,9.426414910921784296e-01
1.124999999999999889e-01,9.081431738250812513e-01,3.461170570774929067e-01,3.461170570774929067e-01,4.186597375374281338e-01,9.381913359224841598e-01,9.381913359224841598e-01
1.166666666666666546e-01,9.135454576426008666e-01,3.583679495453002128e-01,3.583679495453002128e-01,4.067366430758003748e-01,9.335804264972017430e-01,9.335804264972017430e-01
1.208333333333333204e-01,9.187912101488981964e-01,3.705574375098362183e-01,3.705574375098362183e-01,3.947438563842673442e-01,9.288095528719242377e-01,9.288095528719242377e-01
1.249999999999999861e-01,9.238795325112867385e-01,3.826834323650897263e-01,3.826834323650897263e-01,3.826834323650898373e-01,9.238795325112867385e-01,9.238795325112867385e-01
1.291666666666666519e-01,9.288095528719242377e-01,3.947438563842671777e-01,3.947438563842671777e-01,3.705574375098362183e-01,9.187912101488983074e-01,9.187912101488983074e-01
1.333333333333333315e-01,9.335804264972017430e-01,4.067366430758001528e-01,4.067366430758001528e-01,3.583679495453003794e-01,9.135454576426008666e-01,9.135454576426008666e-01
